Date,Open,High,Low,Close,Volume
2018/1/31,24.110001,24.139999,23.620001,23.321306,4776461
2018/2/1,23.780001,23.780001,22.379999,22.245548,7722755
2018/2/2,22.360001,22.540001,21.73,21.890247,5297592
2018/2/5,21.76,22.389999,21.75,21.801426,3382194
2018/2/6,21.799999,21.9,19.91,19.728859,10006726
2018/2/7,20.440001,20.52,18.879999,19.393299,9738598
2018/2/8,19.65,20.1,19.620001,19.600555,4707754
2018/2/9,19.35,19.469999,18.370001,18.554403,8987269
2018/2/12,18.950001,19.190001,18.92,18.880093,4787138
2018/2/13,19.33,19.91,19.1,18.998526,8345369
2018/2/14,19.309999,19.35,19.15,18.968918,3332047
2018/2/22,19.299999,19.719999,19.299999,19.413036,4665032
2018/2/23,19.68,20.16,19.559999,19.669643,5859281
2018/2/26,19.98,20.440001,19.85,20.123632,7362089
2018/2/27,20.4,21.379999,20.1,20.844097,15202465
2018/2/28,20.85,21.65,20.48,20.666451,14809701
2018/3/1,20.879999,21.25,20.68,20.863834,7315546
2018/3/2,20.93,21.27,20.9,20.79475,6130840
2018/3/5,21.799999,21.98,21.219999,21.436258,13424332
2018/3/6,21.700001,21.870001,21.360001,21.475737,8933128
2018/3/7,21.73,21.75,21.299999,21.051353,6372261
2018/3/8,21.35,21.379999,21.08,20.883574,6614033
2018/3/9,21.15,21.75,21.15,21.307955,8706452
2018/3/12,21.799999,22.299999,21.709999,21.988943,12964803
2018/3/13,22.219999,22.26,21.83,21.564562,8408702
2018/3/14,21.66,21.82,21.370001,21.199392,6074102
2018/3/15,21.559999,22.07,21.4,21.396782,7233987
2018/3/16,21.67,21.77,21.299999,21.061222,4608797
2018/3/19,21.33,21.799999,21.33,21.159916,5093668
2018/3/20,21.209999,21.790001,21.09,21.337563,6316524
2018/3/21,21.51,22.309999,21.450001,21.584301,13902737
2018/3/22,21.75,22.1,21.610001,21.515213,7604251
2018/3/23,21.200001,21.49,20.360001,20.330891,12300265
2018/3/26,20.200001,22,20.1,21.57443,18302184
2018/3/27,21.959999,22.469999,21.610001,22.097504,18959544
2018/3/28,22.030001,22.59,22,21.791555,11724255
2018/3/29,22.200001,22.379999,21.9,21.850771,8969607
2018/3/30,22.379999,23.18,22.209999,22.748882,20550759
2018/4/2,23.01,23.93,22.91,23.104181,21429055
2018/4/3,23.059999,23.379999,22.690001,22.739016,12552466
2018/4/4,23.049999,23.879999,23,22.758753,15619546
2018/4/9,23.25,25.059999,23.25,24.387196,34509415
2018/4/10,24.809999,25.5,24.059999,24.100986,34803723
2018/4/11,24.33,24.4,23.91,23.893728,17040744
2018/4/12,24.219999,24.52,23.84,23.577909,12514973
2018/4/13,23.92,24.559999,23.92,23.824642,12970253
