Date,Open,High,Low,Close,Volume
2018/10/26,183.309998,186.660004,181.979996,174.383469,3546200
2018/10/29,187.850006,188.880005,183.160004,175.175446,2867600
2018/10/30,186.830002,190.080002,185,178.965775,2919600
2018/10/31,190.699997,192.119995,189.669998,179.390076,2845100
2018/11/1,190.610001,193.210007,190.089996,181.238083,2242800
2018/11/2,193.660004,194.470001,191.600006,181.794388,3069600
2018/11/5,193.5,194.559998,192.210007,182.209259,2886500
2018/11/6,193.270004,195.5,193,184.142136,1900200
2018/11/7,197.190002,201.399994,195.410004,189.789886,2444400
2018/11/8,201,204.270004,200.729996,192.411072,2534000
2018/11/9,204,204,199.699997,189.610794,2429300
2018/11/12,200.570007,200.770004,196.5,185.782715,2770000
2018/11/13,197.520004,200.880005,197.160004,187.036743,2168800
2018/11/14,200.800003,201.039993,196.289993,186.744446,2797700
2018/11/15,197.729996,205.130005,196.240005,193.20311,3157500
2018/11/16,203.240005,209.770004,202.600006,197.059433,2620400
2018/11/19,207.830002,208.050003,204.369995,193.834839,3220400
2018/11/20,203.580002,204.139999,200.190002,189.054459,2677200
2018/11/21,199.679993,201.179993,198.660004,188.617767,1832700
2018/11/23,197.759995,198.679993,196.789993,186.823608,999900
2018/11/26,198.570007,201.830002,197.320007,189.728485,2321000
2018/11/27,199.119995,201.320007,196.779999,190.516388,2079600
2018/11/28,201.990005,204.350006,199.419998,193.981384,2184400
2018/11/29,203.869995,205.839996,202.660004,194.190231,1569200
2018/11/30,204.360001,207.919998,203.979996,197.379883,3171900
2018/12/3,211.210007,211.949997,207.050003,198.177322,2493400
2018/12/4,208.059998,208.550003,202.089996,191.94986,2698700
2018/12/6,199.610001,203.080002,198.190002,192.405533,2991800
2018/12/7,202.619995,204.369995,197.009995,188.190613,2254500
2018/12/10,198.360001,198.949997,193.639999,188.266571,1980300
2018/12/11,201.259995,202,196.139999,187.45018,1828900
2018/12/12,200.600006,202.619995,199.699997,189.681015,1919000
2018/12/13,201.429993,202.399994,199.520004,191.883408,1831700
2018/12/14,200.119995,201.570007,195.850006,186.159088,2473200
2018/12/17,195.839996,198.25,191.850006,183.045364,2547600
2018/12/18,193.389999,196.919998,193.149994,184.697144,2636300
2018/12/19,196,198.229996,189.699997,180.330353,3266500
2018/12/20,189.110001,191.119995,185.5,177.881149,3609200
2018/12/21,187.860001,190.5,183.639999,174.435135,6699200
2018/12/24,181.889999,183.539993,178.509995,169.565186,2249500
2018/12/26,179.380005,186.330002,176.869995,176.817886,2925500
2018/12/27,183.5,190.699997,182.880005,181.032822,2809000
2018/12/28,191.809998,192.300003,188.570007,179.770248,2311400
2018/12/31,190.339996,191.649994,188.5,180.880936,1804400
2019/1/2,187.820007,190.990005,186.699997,181.270157,2475200
2019/1/3,188.279999,188.279999,182.889999,174.444626,3358200
2019/1/4,186.75,191.979996,186.029999,181.621399,2995100
2019/1/7,191.360001,192.300003,188.660004,181.20372,2162200
2019/1/8,193,194.110001,189.580002,181.96315,2479800
2019/1/9,193.25,193.940002,191.380005,182.551727,2163600
2019/1/10,190.869995,193.809998,189.399994,183.785812,1939300
2019/1/11,191.839996,192.690002,190.860001,182.466309,2359900
2019/1/14,190.639999,192.830002,189.800003,182.428299,1914400
2019/1/15,188.839996,190.679993,187.860001,179.362045,2737300
2019/1/16,188.509995,190.440002,188.419998,179.874664,2492100
2019/1/17,188.559998,192.899994,187.899994,181.991653,1978900
2019/1/18,194.339996,196.399994,192.360001,185.931259,2746600
2019/1/22,194.220001,194.490005,190.429993,182.513763,2709600
2019/1/23,192.630005,194,190.279999,182.542221,1652900
2019/1/24,192.259995,193.169998,191.509995,182.760559,1582800
2019/1/25,194.720001,197.160004,194.460007,185.969208,2320100
2019/1/28,193.139999,193.449997,191.070007,183.406097,3156600
2019/1/29,195.009995,199.889999,194.199997,186.966019,4311100
2019/1/30,198.220001,200.110001,194.630005,189.168381,2168100
2019/1/31,198.800003,200.889999,197.740005,190.146179,3338400
2019/2/1,201.490005,201.770004,198.289993,189.06398,2239400
2019/2/4,199.009995,200.259995,196.25,190.060745,1973600
2019/2/5,200.720001,201.130005,199.729996,190.924606,2036900
2019/2/6,201.220001,203.080002,200.25,192.301117,1672400
2019/2/7,201.020004,202.399994,198.860001,189.709503,1949400
2019/2/8,199.220001,199.850006,197.899994,189.690521,1451800
2019/2/11,200.929993,201.199997,199.639999,190.72525,1513500
2019/2/12,202.869995,206.789993,202.190002,196.098328,2623000
2019/2/13,207.089996,210.399994,206.589996,199.088669,2967300
2019/2/14,206.589996,207.119995,204.050003,195.886459,2229700
2019/2/15,206.460007,208.970001,206,199.643036,2000400
2019/2/19,207.910004,209.149994,207.389999,199.212921,1534400
2019/2/20,208.929993,208.970001,207.320007,199.327621,1879100
2019/2/21,208.160004,209.110001,207.25,198.601151,1737600
2019/2/22,207.770004,209.660004,207.149994,200.111435,1534200
2019/2/25,210.470001,211.350006,210.339996,201.28714,2183500
2019/2/26,210.580002,211.589996,209.369995,200.140106,1671300
2019/2/27,209.600006,209.690002,208.160004,199.805557,1540600
2019/2/28,209.050003,209.050003,206.960007,198.23793,2121700
2019/3/1,208.809998,209.759995,206.899994,198.333496,1754400
2019/3/4,208.990005,209.979996,205.740005,197.731323,1989900
2019/3/5,205.580002,207.25,203.839996,194.844574,2744500
2019/3/6,204.729996,204.789993,202.759995,193.850494,1825300
2019/3/7,202.559998,202.559998,198.5,191.040222,3339600
2019/3/8,198.380005,201.169998,198,192.02475,1724500
2019/3/11,201.880005,207.160004,201.660004,197.960724,2385300
2019/3/12,207.839996,208.389999,205.380005,196.718109,2115100
2019/3/13,206.830002,207.300003,205.630005,197.540131,2036700
2019/3/14,206.699997,207.449997,205.729996,198.228363,1793400
2019/3/15,208.399994,208.660004,206.789993,198.897476,4394700
2019/3/18,208.440002,208.600006,205.610001,199.289383,1843600
2019/3/19,209.100006,210.539993,208.309998,199.795975,2351600
2019/3/20,209,210.509995,207.289993,199.107773,1734600
2019/3/21,206.800003,210.160004,205.970001,200.359955,2288100
2019/3/22,208.289993,208.490005,204.470001,195.628403,2716100
2019/3/25,203.460007,205.470001,202.25,194.242386,2020600
2019/3/26,205,207.639999,204.770004,198.094543,1895600
2019/3/27,207.399994,207.940002,205.130005,198.018097,2004000
2019/3/28,208,208.740005,206.639999,199.327621,1670600
2019/3/29,209.289993,209.5,206.199997,198.610703,2858300
2019/4/1,209.889999,212.389999,209.259995,202.587128,2588400
2019/4/2,212.240005,212.699997,211,202.768768,1413500
2019/4/3,212.949997,213.929993,212.440002,203.724609,1570000
2019/4/4,213.5,215.270004,212.330002,205.540771,1560900
2019/4/5,215.880005,216.490005,214.800003,205.904007,1391100
2019/4/8,214.710007,215.070007,213.470001,205.531204,1130000
2019/4/9,214.419998,214.570007,211.820007,202.606262,1516500
2019/4/10,212.419998,212.710007,210.720001,202.749619,1348600
