Date,Open,High,Low,Close
2015/1/2,2058.899902,2072.360107,2046.040039,2058.199951
2015/1/5,2054.439941,2054.439941,2017.339966,2020.579956
2015/1/6,2022.150024,2030.25,1992.439941,2002.609985
2015/1/7,2005.550049,2029.609985,2005.550049,2025.900024
2015/1/8,2030.609985,2064.080078,2030.609985,2062.139893
2015/1/9,2063.449951,2064.429932,2038.329956,2044.810059
2015/1/12,2046.130005,2049.300049,2022.579956,2028.26001
2015/1/13,2031.579956,2056.929932,2008.25,2023.030029
2015/1/14,2018.400024,2018.400024,1988.439941,2011.27002
2015/1/15,2013.75,2021.349976,1991.469971,1992.670044
2015/1/16,1992.25,2020.459961,1988.119995,2019.420044
2015/1/20,2020.76001,2028.939941,2004.48999,2022.550049
2015/1/21,2020.189941,2038.290039,2012.040039,2032.119995
2015/1/22,2034.300049,2064.620117,2026.380005,2063.149902
2015/1/23,2062.97998,2062.97998,2050.540039,2051.820068
2015/1/26,2050.419922,2057.620117,2040.969971,2057.090088
2015/1/27,2047.859985,2047.859985,2019.910034,2029.550049
2015/1/28,2032.339966,2042.48999,2001.48999,2002.160034
2015/1/29,2002.449951,2024.640015,1989.180054,2021.25
2015/1/30,2019.349976,2023.319946,1993.380005,1994.98999
2015/2/2,1996.670044,2021.660034,1980.900024,2020.849976
2015/2/3,2022.709961,2050.300049,2022.709961,2050.030029
2015/2/4,2048.860107,2054.73999,2036.719971,2041.51001
2015/2/5,2043.449951,2063.550049,2043.449951,2062.52002
2015/2/6,2062.280029,2072.399902,2049.969971,2055.469971
2015/2/9,2053.469971,2056.159912,2041.880005,2046.73999
2015/2/10,2049.379883,2070.860107,2048.620117,2068.590088
2015/2/11,2068.550049,2073.47998,2057.98999,2068.530029
2015/2/12,2069.97998,2088.530029,2069.97998,2088.47998
2015/2/13,2088.780029,2097.030029,2086.699951,2096.98999
2015/2/17,2096.469971,2101.300049,2089.800049,2100.340088
2015/2/18,2099.159912,2100.22998,2092.149902,2099.679932
2015/2/19,2099.25,2102.129883,2090.790039,2097.449951
2015/2/20,2097.649902,2110.610107,2085.439941,2110.300049
2015/2/23,2109.830078,2110.050049,2103,2109.659912
2015/2/24,2109.100098,2117.939941,2105.870117,2115.47998
2015/2/25,2115.300049,2119.590088,2109.889893,2113.860107
2015/2/26,2113.909912,2113.909912,2103.76001,2110.73999
2015/2/27,2110.879883,2112.73999,2103.75,2104.5
2015/3/2,2105.22998,2117.52002,2104.5,2117.389893
2015/3/3,2115.76001,2115.76001,2098.26001,2107.780029
2015/3/4,2107.719971,2107.719971,2094.48999,2098.530029
2015/3/5,2098.540039,2104.25,2095.219971,2101.040039
2015/3/6,2100.909912,2100.909912,2067.27002,2071.26001
2015/3/9,2072.25,2083.48999,2072.209961,2079.429932
2015/3/10,2076.139893,2076.139893,2044.160034,2044.160034
2015/3/11,2044.689941,2050.080078,2039.689941,2040.23999
2015/3/12,2041.099976,2066.409912,2041.099976,2065.949951
2015/3/13,2064.560059,2064.560059,2041.170044,2053.399902
2015/3/16,2055.350098,2081.409912,2055.350098,2081.189941
2015/3/17,2080.590088,2080.590088,2065.080078,2074.280029
2015/3/18,2072.840088,2106.850098,2061.22998,2099.5
2015/3/19,2098.689941,2098.689941,2085.560059,2089.27002
2015/3/20,2090.320068,2113.919922,2090.320068,2108.100098
2015/3/23,2107.98999,2114.860107,2104.419922,2104.419922
2015/3/24,2103.939941,2107.629883,2091.5,2091.5
2015/3/25,2093.100098,2097.429932,2061.050049,2061.050049
2015/3/26,2059.939941,2067.149902,2045.5,2056.149902
2015/3/27,2055.780029,2062.830078,2052.959961,2061.02002
2015/3/30,2064.110107,2088.969971,2064.110107,2086.23999
2015/3/31,2084.050049,2084.050049,2067.040039,2067.889893
2015/4/1,2067.629883,2067.629883,2048.379883,2059.689941
2015/4/2,2060.030029,2072.169922,2057.320068,2066.959961
2015/4/6,2064.870117,2086.98999,2056.52002,2080.620117
2015/4/7,2080.790039,2089.810059,2076.100098,2076.330078
2015/4/8,2076.939941,2086.689941,2073.300049,2081.899902
2015/4/9,2081.290039,2093.310059,2074.290039,2091.179932
2015/4/10,2091.51001,2102.610107,2091.51001,2102.060059
2015/4/13,2102.030029,2107.649902,2092.330078,2092.429932
2015/4/14,2092.280029,2098.620117,2083.23999,2095.840088
2015/4/15,2097.820068,2111.909912,2097.820068,2106.629883
2015/4/16,2105.959961,2111.300049,2100.02002,2104.98999
2015/4/17,2102.580078,2102.580078,2072.370117,2081.179932
2015/4/20,2084.110107,2103.939941,2084.110107,2100.399902
2015/4/21,2102.820068,2109.639893,2094.379883,2097.290039
2015/4/22,2098.27002,2109.97998,2091.050049,2107.959961
2015/4/23,2107.209961,2120.48999,2103.189941,2112.929932
2015/4/24,2112.800049,2120.919922,2112.800049,2117.689941
2015/4/27,2119.290039,2125.919922,2107.040039,2108.919922
2015/4/28,2108.350098,2116.040039,2094.889893,2114.76001
2015/4/29,2112.48999,2113.649902,2097.409912,2106.850098
2015/4/30,2105.52002,2105.52002,2077.590088,2085.51001
2015/5/1,2087.379883,2108.409912,2087.379883,2108.290039
2015/5/4,2110.22998,2120.949951,2110.22998,2114.48999
2015/5/5,2112.629883,2115.23999,2088.459961,2089.459961
2015/5/6,2091.26001,2098.419922,2067.929932,2080.149902
2015/5/7,2079.959961,2092.899902,2074.98999,2088
2015/5/8,2092.129883,2117.659912,2092.129883,2116.100098
2015/5/11,2115.560059,2117.689941,2104.580078,2105.330078
2015/5/12,2102.870117,2105.060059,2085.570068,2099.120117
2015/5/13,2099.620117,2110.189941,2096.040039,2098.47998
2015/5/14,2100.429932,2121.449951,2100.429932,2121.100098
